x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.046099768853272216
1.6,0.04388790483725295
3.2,0.0344198410233
4.800000000000001,0.021627522831822205
6.4,0.01223971992008985
8.0,0.0076019142243284165
9.600000000000001,0.006142694871433745
11.200000000000001,0.005197968746086429
12.8,0.004803988010252794
14.4,0.004755456190297195
16.0,0.004922600678568211
17.6,0.005151240029591648
19.200000000000003,0.0052891823199655765
20.8,0.005194997063823487
22.400000000000002,0.004810530083991479
24.0,0.004256633556277156
25.6,0.0036153117320402626
27.200000000000003,0.002990017706263239
28.8,0.002529663077130047
30.400000000000002,0.0023289068144563252
32.0,0.002283121923973068
33.6,0.0022773059211849476
35.2,0.0022477698944625524
36.800000000000004,0.0021727657740660106
38.400000000000006,0.002057370767229184
40.0,0.0019177903498998018
41.6,0.0017747622927832387
43.2,0.0016424702183632125
44.800000000000004,0.0014949256181525314
46.400000000000006,0.001295930883702761
48.0,0.0010528323559421153
49.6,0.0007884231706507534
51.2,0.0005545270390079419
52.800000000000004,0.00037791802349805293
54.400000000000006,0.00026048543366375917
56.0,0.0001934888167557793
57.6,0.0001548005735473518
59.2,0.00012993015275254374
60.800000000000004,0.00011246802662801855
62.400000000000006,9.989063781065041e-05
64.0,9.045068765199435e-05
65.60000000000001,8.206222476069903e-05
67.2,7.515116939475723e-05
68.8,6.91195126137796e-05
70.4,6.444942348699945e-05
72.0,6.053712575764276e-05
73.60000000000001,5.7011316247657185e-05
75.2,5.381650239763741e-05
76.80000000000001,5.058134403890588e-05
78.4,4.773711310511006e-05
80.0,4.486050319291907e-05
81.60000000000001,4.24752775353301e-05
83.2,4.023272838309025e-05
84.80000000000001,3.815956443089795e-05
86.4,3.6309171156845926e-05
88.0,3.444080845215523e-05
89.60000000000001,3.2831563306541953e-05
91.2,3.12778120283968e-05
92.80000000000001,2.9872497439414822e-05
94.4,2.8585612961073166e-05
96.0,2.7311430313833306e-05
97.60000000000001,2.6149260993859015e-05
99.2,2.50731850931564e-05
100.80000000000001,2.4077484800825542e-05
102.4,2.3184988690188242e-05
104.0,2.2284495631633302e-05
105.60000000000001,2.1498073775576793e-05
107.2,2.0728290351848256e-05
108.80000000000001,1.9947709308301582e-05
110.4,1.9246882739439845e-05
112.0,1.8542400621049636e-05
113.60000000000001,1.788414228347962e-05
115.2,1.7207638695122747e-05
116.80000000000001,1.655818693709374e-05
118.4,1.5940770654195258e-05
120.0,1.550755078871619e-05
121.60000000000001,1.4844002664747204e-05
123.2,1.431430276971815e-05
124.80000000000001,1.3874299866018924e-05
126.4,1.3404778611124697e-05
128.0,1.2980913363088196e-05
129.6,1.2523864124837041e-05
131.20000000000002,1.1996074574213868e-05
132.8,1.1611932769235946e-05
134.4,1.1116134489901707e-05
136.0,1.0770357098427543e-05
137.6,1.036352323824469e-05
139.20000000000002,9.922696378768341e-06
140.8,9.616611701700364e-06
142.4,9.162533045196219e-06
144.0,8.878405032700588e-06
145.6,8.460848006883866e-06
147.20000000000002,8.097727396812482e-06
148.8,7.815968200305174e-06
150.4,7.358993637110124e-06
152.0,7.091141224304279e-06
153.60000000000002,6.668027693751499e-06
155.20000000000002,6.435940107707024e-06
156.8,6.083153043607517e-06
158.4,5.816352982583631e-06
160.0,5.5398501569768985e-06
161.60000000000002,5.295860520826551e-06
163.20000000000002,5.063141738178343e-06
164.8,4.884533093686355e-06
166.4,4.73328997522048e-06
168.0,4.697010301303132e-06
169.60000000000002,4.902730776289258e-06
