x_interp,Density,Plus_Unc,Minus_Unc
0.0,1.5734865491141496,0.281127452339587,0.4161555150687144
4.0,-8.963164676615747,0.7355700554538274,0.7056014976507043
8.0,-7.853516987281939,0.4542062003069516,0.2963715599728811
12.0,-6.402848623157494,0.19734230538708442,0.23968744065569147
16.0,-6.4007434402544074,0.17778927560243307,0.2016415374815086
20.0,-6.451583536944931,0.15679124853576987,0.16222999845259167
24.0,-6.3555854286520415,0.14983007216611632,0.14936031141813633
28.0,-6.316589444197393,0.14765297742585748,0.13870888398658376
32.0,-6.303151305497154,0.14315627327923686,0.12774983794761674
36.0,-6.2839874799888635,0.13649113183419015,0.10842386433787521
40.0,-6.428326062731246,0.1063257328316265,0.08560958765403726
44.0,-6.46074166149001,0.15573507502846162,0.1314839836244044
48.0,-6.4994551743196265,0.15636677872660432,0.16334598126468514
52.0,-6.629546971661616,0.22018681088834402,0.27759229685066344
56.0,-7.562955423969241,0.55792489981327,0.46949754338239913
60.0,-7.703349601091497,0.6309861531849235,0.48015785025523083
64.0,-7.760765633813837,0.683132334031634,0.5067319462074655
68.0,-7.821778199966236,0.7301708872408321,0.5306140919035993
72.0,-7.8802391889682495,0.7905930364809644,0.5658484944610054
76.0,-7.936562482981696,0.8830064759490188,0.6225029947074194
80.0,-7.978462284170689,0.889012274280506,0.6252370691202227
84.0,-8.810395226537462,1.1221486441231416,0.8121934172769887
88.0,-8.811360152464449,1.1369886600694983,0.8111044699859828
92.0,-8.792084811583281,1.1327770987867956,0.8232638890068102
96.0,-8.813827182550792,1.1407044073973047,0.804863567671493
100.0,-8.804068441948228,1.1309913188588379,0.8119385015627714
104.0,-8.807457295254181,1.1515716976240702,0.8144901580224246
108.0,-8.799353291738306,1.1333286964329314,0.8232077887547966
112.0,-8.788622744947983,1.1410522566073187,0.8224492830933503
116.0,-8.810923493343886,1.1426118798106124,0.8146241706035084
120.0,-8.811643776600352,1.146405346790262,0.8122666993030556
124.0,-8.80537970027832,1.1338522437973637,0.8130892288307141
128.0,-8.798742590698803,1.1544318037368546,0.8190974439037788
132.0,-8.792352901166788,1.1531189578938754,0.8258300929130193
136.0,-8.794762518716809,1.1505143205846249,0.8252526998586251
140.0,-8.792456112189274,1.1522356350880738,0.8256194689257033
