x_interp,Temperature,Plus_Unc,Minus_Unc,,,
0,28.499139772543,0.338783318651593,0.322104962228785,,,
4,151.700694148227,40.5732391920758,40.4093852643328,,,
8,111.410068180116,38.6506493087873,36.6590578168077,,,
12,47.1066222044897,9.09511087961279,6.07360386236335,,53.8540639447959,Mean
16,46.8503125984152,7.81769665775111,5.67748401788736,,7.02735831863071,Std.dev
20,53.9829440165573,8.0986441783668,7.50896998901041,,2.11882825548008,Unc. = Std.dev/sqrt(n)
24,51.7315894904436,7.89047219031868,6.86238674106841,,,
28,52.0963871719497,7.45340651259961,7.07780983788994,,,
32,53.4732518242894,7.49248209919179,7.23469958070956,,,
36,57.2187259433749,6.44494467496471,8.14633698211236,,,
40,69.3753126341746,5.89840891224952,8.2352819019359,7.06684540709271,,
44,62.4780045093542,9.89417036503756,10.3553162438083,,,
48,52.087353174892,8.57895969583004,6.91674717869025,,,
52,45.9941998248144,9.29624044236751,6.05989136614442,,,
56,67.1708795877058,29.856870937508,19.3235436966436,,,
60,65.4909041255797,29.711012428813,20.3972796040741,,,
64,63.3166639812484,29.8326323008665,20.3263710300294,,,
68,61.8252458076578,29.9790579025449,20.5418931264559,,,
72,60.0319794430492,30.381058542295,20.7286947966395,,,
76,57.4928948479868,31.2001970255033,20.8732755998862,,,
80,57.5068529563001,31.0945561819995,20.9130055533514,,,
84,43.1932744807021,29.7253478504869,16.8053956978724,,,
88,42.5278177604951,29.0574497249552,16.4203562988091,,,
92,42.3133484487766,29.0273450463219,16.2228680857692,,,
96,41.8947137712491,28.8049095778647,15.7970177372393,,,
100,42.1607483399659,28.8105496861844,16.16553123387,,,
104,41.8082620183612,28.5346249150816,15.8952351640173,,,
108,41.3653433562746,27.8841802353534,15.5974139565134,,,
112,41.0617800270497,28.0227981501389,15.3708727834507,,,
116,41.4250566837284,28.0905460938014,15.5456625625691,,,
120,41.2519932909825,28.034785115558,15.5299017400593,,,
124,41.0168390508138,27.9187400541373,15.2939694611826,,,
128,40.9312322138874,27.9825359133372,15.2354362979289,,,
132,40.6032467453036,27.4284722666431,15.0648383997109,,,
136,40.1820155956598,27.345148526006,14.7813946157522,,,
140,40.2421751850038,27.4754932784705,14.8110612116281,,,
