Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
GAIADR2_Gbp,0.528051100122395,24.289015764661368
GAIADR2_G,0.6770110663028952,99.56542305428391
GAIADR2_Grp,0.7932285077813985,234.65745859189562
2MASS_J,1.2232108888203437,876.4831821347971
2MASS_H,1.641855972403177,1429.763995799404
2MASS_Ks,2.2024757594239204,1431.6025240522204
COBE_DIRBE_1.25,1.283483104056272,1010.5231044291638
COBE_DIRBE_2.2,2.204923360251841,1403.9778418061485
COBE_DIRBE_3.5,3.5216206429049683,705.9243436493281
COBE_DIRBE_4.9,4.954844254630214,400.9770164860885
WISE_RSR_W3,12.190421913384565,120.90893660980375
WISE_RSR_W4,22.34270386612677,53.011467197839245
AKARI_S9W,9.18383127996886,192.9639526358161
AKARI_L18W,19.707973009475538,54.5288161212471
AKARI_FIS_N60,66.45843981304853,29.21202431123781
AKARI_FIS_WIDES,89.31838994934584,22.002966626883207
AKARI_FIS_WIDEL,150.9053990174674,7.5131971242707225
IRAS_12,11.53431212209022,142.46443293861182
IRAS_25,23.841129632432338,51.67526408434032
IRAS_60,61.247123004860576,32.21714468144859
IRAS_100,102.00682088988309,16.822359875326935
HERSCHEL_PACS_BLUE,72.15371447969744,26.356204489349878
HERSCHEL_PACS_RED,167.0921512765277,6.006761317360803
HERSCHEL_SPIRE_PSW,252.3914922376205,2.0035908229330626
HERSCHEL_SPIRE_PMW,352.68603024791423,0.8082272635490669
HERSCHEL_SPIRE_PLW,513.5318418994426,0.3038384840238096
JCMT_SCUBA2_450,457.86151954735425,0.37383192043307356
JCMT_SCUBA2_850,862.2941509532168,0.07011614695949295
