Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
GAIADR2_Gbp,0.528051100122395,24.320714981072417
GAIADR2_G,0.6770110663028952,99.66669001027395
GAIADR2_Grp,0.7932285077813985,234.88029015456752
2MASS_J,1.2232108888203437,877.059607813665
2MASS_H,1.641855972403177,1430.5134285721697
2MASS_Ks,2.2024757594239204,1432.20354181977
COBE_DIRBE_1.25,1.283483104056272,1011.1615979944537
COBE_DIRBE_2.2,2.204923360251841,1404.5612679008725
COBE_DIRBE_3.5,3.5216206429049683,706.128698044498
COBE_DIRBE_4.9,4.954844254630214,401.06742938387174
WISE_RSR_W3,12.190421913384565,120.89811140179982
WISE_RSR_W4,22.34270386612677,50.23998714702899
AKARI_S9W,9.18383127996886,192.99491982956965
AKARI_L18W,19.707973009475538,53.32394207119737
AKARI_FIS_N60,66.45843981304853,6.895696708560887
AKARI_FIS_WIDES,89.31838994934584,4.46370562853071
AKARI_FIS_WIDEL,150.9053990174674,1.3436988054229524
IRAS_12,11.53431212209022,142.47538255676986
IRAS_25,23.841129632432338,48.11881763264774
IRAS_60,61.247123004860576,9.830601432909436
IRAS_100,102.00682088988309,2.9856712111848442
HERSCHEL_PACS_BLUE,72.15371447969744,5.54823815911203
HERSCHEL_PACS_RED,167.0921512765277,1.0993829882295678
HERSCHEL_SPIRE_PSW,252.3914922376205,0.4523567349383404
HERSCHEL_SPIRE_PMW,352.68603024791423,0.2316141560819451
HERSCHEL_SPIRE_PLW,513.5318418994426,0.11280824521240558
JCMT_SCUBA2_450,457.86151954735425,0.1329101282618864
JCMT_SCUBA2_850,862.2941509532168,0.03764875314830653
