Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
GAIADR2_Gbp,0.528051100122395,24.249044892305157
GAIADR2_G,0.6770110663028952,99.436499329149
GAIADR2_Grp,0.7932285077813985,234.37278339330476
2MASS_J,1.2232108888203437,875.6980229695636
2MASS_H,1.641855972403177,1428.6526222800808
2MASS_Ks,2.2024757594239204,1430.5506529090649
COBE_DIRBE_1.25,1.283483104056272,1009.6469791871951
COBE_DIRBE_2.2,2.204923360251841,1402.942896871736
COBE_DIRBE_3.5,3.5216206429049683,705.2400635587812
COBE_DIRBE_4.9,4.954844254630214,400.45301805482967
WISE_RSR_W3,12.190421913384565,120.97543509544893
WISE_RSR_W4,22.34270386612677,64.59330734331007
AKARI_S9W,9.18383127996886,192.6257054696396
AKARI_L18W,19.707973009475538,60.08816449780072
AKARI_FIS_N60,66.45843981304853,48.47244586197921
AKARI_FIS_WIDES,89.31838994934584,34.31828367644824
AKARI_FIS_WIDEL,150.9053990174674,10.076433109699163
IRAS_12,11.53431212209022,142.3242513885357
IRAS_25,23.841129632432338,64.51929943467648
IRAS_60,61.247123004860576,55.76303655422827
IRAS_100,102.00682088988309,24.70118316837706
HERSCHEL_PACS_BLUE,72.15371447969744,42.25398313023183
HERSCHEL_PACS_RED,167.0921512765277,7.930029217800513
HERSCHEL_SPIRE_PSW,252.3914922376205,2.4804870394232155
HERSCHEL_SPIRE_PMW,352.68603024791423,0.9648783325454158
HERSCHEL_SPIRE_PLW,513.5318418994426,0.3510941807407733
JCMT_SCUBA2_450,457.86151954735425,0.43411133136034497
JCMT_SCUBA2_850,862.2941509532168,0.07736147359414641
