Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
GAIADR2_Gbp,0.528051100122395,24.302237665780932
GAIADR2_G,0.6770110663028952,99.60451179180464
GAIADR2_Grp,0.7932285077813985,234.7411450216945
2MASS_J,1.2232108888203437,876.6298149012114
2MASS_H,1.641855972403177,1429.8424940153423
2MASS_Ks,2.2024757594239204,1431.4837591255937
COBE_DIRBE_1.25,1.283483104056272,1010.676407594579
COBE_DIRBE_2.2,2.204923360251841,1403.8476973072893
COBE_DIRBE_3.5,3.5216206429049683,705.5412084072315
COBE_DIRBE_4.9,4.954844254630214,400.5797749340161
WISE_RSR_W3,12.190421913384565,120.6773389970802
WISE_RSR_W4,22.34270386612677,52.29397905600601
AKARI_S9W,9.18383127996886,192.65781326983264
AKARI_L18W,19.707973009475538,54.124934477024325
AKARI_FIS_N60,66.45843981304853,27.26321949854968
AKARI_FIS_WIDES,89.31838994934584,20.70507603796795
AKARI_FIS_WIDEL,150.9053990174674,7.218004273539284
IRAS_12,11.53431212209022,142.21688983391226
IRAS_25,23.841129632432338,50.841299427140235
IRAS_60,61.247123004860576,29.97302666041068
IRAS_100,102.00682088988309,15.954192017561809
HERSCHEL_PACS_BLUE,72.15371447969744,24.69946469783355
HERSCHEL_PACS_RED,167.0921512765277,5.783913813811625
HERSCHEL_SPIRE_PSW,252.3914922376205,1.947183132115234
HERSCHEL_SPIRE_PMW,352.68603024791423,0.7895632119064679
HERSCHEL_SPIRE_PLW,513.5318418994426,0.2981823604006313
JCMT_SCUBA2_450,457.86151954735425,0.3666217155229251
JCMT_SCUBA2_850,862.2941509532168,0.06924477632561138
