Model Type, Reduced Chisqaured Result
outer_M2010_RedChiSq, 540.3972475278144
outer_K2010_RedChiSq, 1076.7241770220357
inner_RedChiSq, 24282.096333771715
fourshells_even_RedChiSq, 2930.0024076505188
fourshells_uneven_RedChiSq, 2115.9170255439326
cont_only_RedChiSq, 18460.15270034499
