Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
GAIADR2_Gbp,0.528051100122395,24.30996789527887
GAIADR2_G,0.6770110663028952,99.62964000711823
GAIADR2_Grp,0.7932285077813985,234.79674995444338
2MASS_J,1.2232108888203437,876.7794799059083
2MASS_H,1.641855972403177,1430.0432463183297
2MASS_Ks,2.2024757594239204,1431.651077804639
COBE_DIRBE_1.25,1.283483104056272,1010.8430681040733
COBE_DIRBE_2.2,2.204923360251841,1404.0103797780962
COBE_DIRBE_3.5,3.5216206429049683,705.602882895116
COBE_DIRBE_4.9,4.954844254630214,400.6090227580118
WISE_RSR_W3,12.190421913384565,120.67313462550061
WISE_RSR_W4,22.34270386612677,51.34610704076546
AKARI_S9W,9.18383127996886,192.66898187942388
AKARI_L18W,19.707973009475538,53.70798938478626
AKARI_FIS_N60,66.45843981304853,23.258475223852056
AKARI_FIS_WIDES,89.31838994934584,17.971888950349626
AKARI_FIS_WIDEL,150.9053990174674,6.563783373091362
IRAS_12,11.53431212209022,142.22097816894762
IRAS_25,23.841129632432338,49.674090875069965
IRAS_60,61.247123004860576,25.512544742550393
IRAS_100,102.00682088988309,14.07899461583341
HERSCHEL_PACS_BLUE,72.15371447969744,21.236446653533452
HERSCHEL_PACS_RED,167.0921512765277,5.288325456406492
HERSCHEL_SPIRE_PSW,252.3914922376205,1.8203347117667152
HERSCHEL_SPIRE_PMW,352.68603024791423,0.7474644381039202
HERSCHEL_SPIRE_PLW,513.5318418994426,0.2854132388069266
JCMT_SCUBA2_450,457.86151954735425,0.3503414943996371
JCMT_SCUBA2_850,862.2941509532168,0.06727956243598919
