Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
GAIADR2_Gbp,0.528051100122395,24.293559729949745
GAIADR2_G,0.6770110663028952,99.57872189512914
GAIADR2_Grp,0.7932285077813985,234.68577840323525
2MASS_J,1.2232108888203437,876.5104692983451
2MASS_H,1.641855972403177,1429.713916859249
2MASS_Ks,2.2024757594239204,1431.4061177990684
COBE_DIRBE_1.25,1.283483104056272,1010.5479638883619
COBE_DIRBE_2.2,2.204923360251841,1403.7735390790522
COBE_DIRBE_3.5,3.5216206429049683,705.5344409742041
COBE_DIRBE_4.9,4.954844254630214,400.58480732922175
WISE_RSR_W3,12.190421913384565,120.7542373541871
WISE_RSR_W4,22.34270386612677,54.952318888644285
AKARI_S9W,9.18383127996886,192.66615430328645
AKARI_L18W,19.707973009475538,55.426070377249204
AKARI_FIS_N60,66.45843981304853,31.068415917014327
AKARI_FIS_WIDES,89.31838994934584,23.08742895478348
AKARI_FIS_WIDEL,150.9053990174674,7.688181400443556
IRAS_12,11.53431212209022,142.2526002852085
IRAS_25,23.841129632432338,53.76423876052146
IRAS_60,61.247123004860576,34.745445191478
IRAS_100,102.00682088988309,17.44090072573505
HERSCHEL_PACS_BLUE,72.15371447969744,27.79486996173528
HERSCHEL_PACS_RED,167.0921512765277,6.135247807340827
HERSCHEL_SPIRE_PSW,252.3914922376205,2.033079983354317
HERSCHEL_SPIRE_PMW,352.68603024791423,0.8176513790666831
HERSCHEL_SPIRE_PLW,513.5318418994426,0.3066378592149468
JCMT_SCUBA2_450,457.86151954735425,0.37740878938528494
JCMT_SCUBA2_850,862.2941509532168,0.0705406516572214
