x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.00041961587479017793
2.0,0.0003661745869623046
4.0,0.00027106933846321414
6.0,0.00020030793232565862
8.0,0.00015738414549741451
10.0,0.0001273346838465163
12.0,0.00010671889297553705
14.0,8.94544674883914e-05
16.0,7.396295451381416e-05
18.0,6.185421488077665e-05
20.0,5.259233944386751e-05
22.0,4.588813826416628e-05
24.0,4.119479951881958e-05
26.0,3.7967482487081955e-05
28.0,3.612661060991302e-05
30.0,3.51538134278005e-05
32.0,3.460939899489525e-05
34.0,3.426566127382193e-05
36.0,3.385286445142118e-05
38.0,3.2933040737876015e-05
40.0,3.0981035245956416e-05
42.0,2.738144567481899e-05
44.0,2.2963203224296414e-05
46.0,1.8619037164767082e-05
48.0,1.4802708583954753e-05
50.0,1.1576747537928569e-05
52.0,8.8850233732089e-06
54.0,6.787785271563117e-06
56.0,5.107159707881623e-06
58.0,3.68608719251349e-06
60.0,2.5701918656158277e-06
62.0,1.7194052458512466e-06
64.0,1.1206814740853939e-06
66.0,7.108746146229156e-07
68.0,4.3265524517965544e-07
70.0,2.571567220091135e-07
72.0,1.490234661766236e-07
74.0,8.324210550455255e-08
76.0,4.403607741120801e-08
78.0,2.2519123088645043e-08
80.0,1.1497340031843996e-08
82.0,5.5961638351807155e-09
84.0,2.5752043849292102e-09
86.0,1.1311399445126444e-09
88.0,4.714973634633033e-10
90.0,1.8762044556789758e-10
92.0,6.632183766038968e-11
94.0,1.9212468368013094e-11
96.0,5.977434064146629e-12
98.0,1.5609920995637668e-12
100.0,4.625441406680314e-13
102.0,1.1931958143156875e-13
104.0,2.9218799261437335e-14
106.0,9.114041110292043e-15
108.0,1.2616911329359018e-15
110.0,2.4169462006406354e-16
112.0,1.4307660462522073e-17
114.0,5.251192732588068e-19
116.0,-9.95988526809047e-23
118.0,3.1112307498614486e-26
120.0,-2.042598386737759e-27
122.0,-9.85171164304405e-30
124.0,-5.955640925389795e-33
126.0,-2.050313961270247e-35
128.0,5.000618559035669e-37
130.0,2.662809204036026e-39
132.0,-6.069498765064659e-42
134.0,4.3205532023550097e-44
136.0,-3.3675676928335376e-46
138.0,1.5413236980014365e-48
140.0,3.310270605748673e-51
142.0,6.022075456930941e-54
144.0,1.4820176167141862e-57
146.0,-3.2351343438621765e-61
148.0,3.3906081311209176e-63
150.0,-2.1548244591114422e-66
152.0,9.159968988597964e-69
154.0,-3.9681354612915137e-72
156.0,7.823480294824648e-76
158.0,-6.841197562272709e-78
160.0,1.4610222792131523e-81
162.0,-1.9431454588676763e-83
164.0,-1.7153468797946712e-86
166.0,-3.393695082746128e-89
168.0,-2.941373268361839e-105
