x_axis(arcsec),Stellar_Profile(Jy/arcsec^2)
0.0,0.0004402687851840558
2.0,0.0003868879888021457
4.0,0.00029192372286347473
6.0,0.00022131488346957217
8.0,0.00017851926461873274
10.0,0.00014853075684494985
12.0,0.00012784332969570386
14.0,0.00011034215054133227
16.0,9.441090248877809e-05
18.0,8.162396022463795e-05
20.0,7.118837873752636e-05
22.0,6.252378586440045e-05
24.0,5.477972439925357e-05
26.0,4.750726240637465e-05
28.0,4.177673714003582e-05
30.0,3.7620238571642485e-05
32.0,3.435296428751463e-05
34.0,3.1420677785181794e-05
36.0,2.8413155971830212e-05
38.0,2.546403013423218e-05
40.0,2.260701055841775e-05
42.0,1.9566869484462563e-05
44.0,1.6753030823778717e-05
46.0,1.41956059074952e-05
48.0,1.1803914912869153e-05
50.0,9.512513989461732e-06
52.0,7.404661188215676e-06
54.0,5.7128272723877255e-06
56.0,4.3758615127942705e-06
58.0,3.2671596252483964e-06
60.0,2.394801867649673e-06
62.0,1.707816297947534e-06
64.0,1.1966749372441752e-06
66.0,8.211607295374694e-07
68.0,5.447487936348705e-07
70.0,3.546111267394328e-07
72.0,2.2582216694492607e-07
74.0,1.3942045961467634e-07
76.0,8.213249528555104e-08
78.0,4.6999444288371975e-08
80.0,2.683371274698905e-08
82.0,1.4683152803488823e-08
84.0,7.669588379790068e-09
86.0,3.856975320532752e-09
88.0,1.8803318983348466e-09
90.0,9.101347707536208e-10
92.0,4.2458529243275254e-10
94.0,1.8719763190726172e-10
96.0,7.866490808690403e-11
98.0,3.046884164084908e-11
100.0,1.0530223851635409e-11
102.0,3.2093206374060353e-12
104.0,8.992873781351966e-13
106.0,3.1287659400446015e-13
108.0,7.887307784367796e-14
110.0,2.2611718444160718e-14
112.0,5.1764044715182285e-15
114.0,1.212160032331899e-15
116.0,3.4212513222061174e-16
118.0,3.965689109998113e-17
120.0,8.041280498287227e-18
122.0,2.7682010726416063e-19
124.0,2.6420993489286394e-21
126.0,6.769610666298614e-25
128.0,-2.8351922053520557e-27
130.0,2.4779423380385815e-29
132.0,1.6097068709308045e-32
134.0,-2.8011630076405425e-34
136.0,1.5377437891916505e-37
138.0,2.91174546226781e-40
140.0,-1.4902687096766004e-42
142.0,7.095064005281137e-44
144.0,1.1359941624242453e-47
146.0,3.10766218892237e-51
148.0,3.733264283242624e-52
150.0,-2.0292689733407298e-55
152.0,8.674326725833557e-58
154.0,-3.7639517117146455e-61
156.0,7.37160864218341e-65
158.0,-6.492457357361146e-67
160.0,1.3779566947323446e-70
162.0,-1.8430673344245492e-72
164.0,-1.5554498172495718e-75
166.0,-3.1967781510807253e-78
168.0,-3.1040630523249164e-94
