x_interp,Density,Plus_Unc,Minus_Unc
0.0,1.5729103624552394,0.2616591732691351,0.37160697810475907
4.0,-8.957485001481771,0.7291555988285001,0.709404167289776
8.0,-7.859489159579194,0.441371732913856,0.2955953973556813
12.0,-6.442516826859679,0.21740722082796982,0.2795526248891891
16.0,-6.400118988388936,0.18146606329702308,0.21281766601241348
20.0,-6.6460803371312505,0.17012986756032777,0.1560299602984463
24.0,-6.54361057826662,0.2150948764363232,0.15402908618023048
28.0,-6.505333399011725,0.21869699224767913,0.15423571880842868
32.0,-6.478646001895795,0.22847006981711537,0.1603316628595879
36.0,-6.481904957952276,0.21109723499108668,0.12664228775418707
40.0,-6.636339965594545,0.21736778993392214,0.10283148545311871
44.0,-6.682475730824015,0.2326112036142849,0.13695169813609276
48.0,-6.660680581602806,0.21808429401439078,0.17271051466572462
52.0,-6.63533611986015,0.2256946160145139,0.2771863772883876
56.0,-7.522578535322398,0.5467068281314482,0.47616838553989194
60.0,-7.69949599850708,0.6382131679187886,0.490645185277911
64.0,-7.769791230835401,0.6769310796985577,0.5069943936179611
68.0,-7.794567317831269,0.7416636461363275,0.545682243423248
72.0,-7.868442114942536,0.8065080945232426,0.5759033550256651
76.0,-7.9462755175123245,0.8720606117552467,0.61354894179334
80.0,-7.97393617892023,0.8709065884681966,0.6187860599455917
84.0,-8.805795621563272,1.1499819894784595,0.814494528507101
88.0,-8.809288303218146,1.1463970034265918,0.8124545135657435
92.0,-8.831298408538197,1.1446460339049285,0.7995178547879842
96.0,-8.798616629323536,1.1457503644317377,0.8238677280264941
100.0,-8.795086279218495,1.1434791680828376,0.8187927751564583
104.0,-8.799560060915072,1.1547859862896015,0.8248208594888986
108.0,-8.805640272750228,1.1446778982739465,0.8161496870977079
112.0,-8.798927225016994,1.1553079466356397,0.8201027590077903
116.0,-8.797352189347828,1.167986196564847,0.8213170287879947
120.0,-8.793403006839497,1.1432866155814851,0.8292208739881062
124.0,-8.800473216700848,1.162562180462725,0.820644880830498
128.0,-8.784912800262052,1.1551888369772474,0.8310152377418056
132.0,-8.794213674852152,1.1593666044972046,0.8208313789277035
136.0,-8.796139411824583,1.1623585241347563,0.8215942003543972
140.0,-8.790879481980078,1.1383815148095664,0.8263338188472886
