Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
2MASS_J,1.2232108888203437,875.397241381257
2MASS_H,1.641855972403177,1428.3400248045818
2MASS_Ks,2.2024757594239204,1430.4489921293957
COBE_DIRBE_1.25,1.2834831138454397,1009.3185734161624
COBE_DIRBE_2.2,2.2049233635697454,1402.8573657526686
COBE_DIRBE_3.5,3.521620543027734,705.522704763234
COBE_DIRBE_4.9,4.954844187187877,400.7957120962316
AKARI_S9W,9.18383127996886,192.9086946380292
AKARI_L18W,19.707973009475538,61.17299998423721
AKARI_FIS_N60,66.45843981304853,50.5560691078189
AKARI_FIS_WIDES,89.31838994934584,35.610764068771815
AKARI_FIS_WIDEL,150.9053990174674,10.32807070679879
IRAS_12,11.53431212209022,142.5805566395725
IRAS_25,23.841129632432338,66.6335364050387
IRAS_60,61.247123004860576,58.43888482425905
IRAS_100,102.00682088988309,25.49954237496378
HERSCHEL_PACS_BLUE,72.15371447969744,43.93438916096626
HERSCHEL_PACS_RED,167.0921512765277,8.118104926277876
HERSCHEL_SPIRE_PSW,252.3914922376205,2.5265877454814625
HERSCHEL_SPIRE_PMW,352.68603024791423,0.979980726934607
HERSCHEL_SPIRE_PLW,513.5318418994426,0.35566353903606157
JCMT_SCUBA2_450,457.86151954735425,0.43993394313515427
JCMT_SCUBA2_850,862.2941509532168,0.07805927733909003
