Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
2MASS_J,1.2232108888203437,876.3217044238182
2MASS_H,1.641855972403177,1429.5548754240363
2MASS_Ks,2.2024757594239204,1431.4352136915584
COBE_DIRBE_1.25,1.2834831138454397,1010.344278559887
COBE_DIRBE_2.2,2.2049233635697454,1403.8154586834276
COBE_DIRBE_3.5,3.521620543027734,705.867538996629
COBE_DIRBE_4.9,4.954844187187877,400.95204554806446
AKARI_S9W,9.18383127996886,192.9575316386291
AKARI_L18W,19.707973009475538,55.76361647356751
AKARI_FIS_N60,66.45843981304853,31.906620303966648
AKARI_FIS_WIDES,89.31838994934584,23.64177843845714
AKARI_FIS_WIDEL,150.9053990174674,7.813617757160082
IRAS_12,11.53431212209022,142.49198189007575
IRAS_25,23.841129632432338,54.33733675522362
IRAS_60,61.247123004860576,35.73514046711839
IRAS_100,102.00682088988309,17.809339030959055
HERSCHEL_PACS_BLUE,72.15371447969744,28.502264819852076
HERSCHEL_PACS_RED,167.0921512765277,6.230014162396457
HERSCHEL_SPIRE_PSW,252.3914922376205,2.057164842787346
HERSCHEL_SPIRE_PMW,352.68603024791423,0.8256383428287833
HERSCHEL_SPIRE_PLW,513.5318418994426,0.3090572038236379
JCMT_SCUBA2_450,457.86151954735425,0.38049321943997
JCMT_SCUBA2_850,862.2941509532168,0.0709132475628711
