Filter_Name,Wavelength_micron,Filt.Convolved_SED_Flux_Jy
2MASS_J,1.2232108888203437,876.2070929785475
2MASS_H,1.641855972403177,1429.3826582984866
2MASS_Ks,2.2024757594239204,1431.2752013190177
COBE_DIRBE_1.25,1.2834831138454397,1010.2143114386809
COBE_DIRBE_2.2,2.2049233635697454,1403.6590426591697
COBE_DIRBE_3.5,3.521620543027734,705.7995709407297
COBE_DIRBE_4.9,4.954844187187877,400.91730573406403
AKARI_S9W,9.18383127996886,192.94203061957404
AKARI_L18W,19.707973009475538,56.0339892267984
AKARI_FIS_N60,66.45843981304853,33.365409403914626
AKARI_FIS_WIDES,89.31838994934584,24.60859686515392
AKARI_FIS_WIDEL,150.9053990174674,8.031686425859988
IRAS_12,11.53431212209022,142.48532381505572
IRAS_25,23.841129632432338,55.003630250963006
IRAS_60,61.247123004860576,37.43160007724692
IRAS_100,102.00682088988309,18.45285078486668
HERSCHEL_PACS_BLUE,72.15371447969744,29.737540068517973
HERSCHEL_PACS_RED,167.0921512765277,6.394571160735948
HERSCHEL_SPIRE_PSW,252.3914922376205,2.0987550620809867
HERSCHEL_SPIRE_PMW,352.68603024791423,0.839383378326687
HERSCHEL_SPIRE_PLW,513.5318418994426,0.3132199594306837
JCMT_SCUBA2_450,457.86151954735425,0.3858018674367306
JCMT_SCUBA2_850,862.2941509532168,0.07155218598907333
